Id,city,shopName,shopId,shopPower,mainRegionName,mainCategoryName,tasteScore,environmentScore,serviceScore,avgPrice,shopAddress
11370,北安,明明巧媳妇,20747662,40,北安市其他,面包/饮品,81,82,81,15,健康路六道街大润发楼下
11371,北安,捌毛撸烧烤,38068426,35,北安市其他,烧烤,74,74,74,30,步行街小五道街东侧200米路北
11372,北安,郭记铁锅烀羊,21109635,35,北安市其他,东北家常菜,76,75,76,30,秀水名苑北门东侧
11376,北安,德克士,6002861,35,北安市其他,快餐简餐,76,76,76,21,步行街三道街利郎服装对面
11377,北安,川竹火锅,58969532,35,北安市其他,火锅,74,74,74,32,兆麟街道金街东三道街锦天华苑101号
11378,北安,欢乐谷KTV宴会厅,80145856,35,北安市其他,快餐简餐,75,75,75,30,步行街二道街商贸大厦7楼
11379,北安,恒泰酒楼,5584004,30,北安火车站,东北家常菜,69,69,69,30,龙江路与兆麟街交汇东行120米
11380,北安,丽盛源蛋糕,19187895,35,贸易大楼,面包烘焙,77,77,77,19,步行街东北亚商城对面
11381,北安,名都晓荷塘养生火锅概念店,23663376,30,北安市其他,火锅,69,70,69,30,通林路幸福金街31号楼
11383,北安,不茉莉先生咖啡馆,19809149,35,北安市其他,咖啡厅,75,76,76,38,文化家园二期7号楼
11384,北安,周家大院,23456564,35,北安市其他,东北家常菜,75,75,75,35,202国道，万达雪佛兰4s店院内
11385,北安,大龙烧烤,22381073,35,北安市其他,烧烤,75,75,75,30,健康路四道街道西，山西老陈醋西侧
11390,北安,City1+1城市比萨,18329391,40,北安市其他,西餐,80,80,80,40,健康路与上海路交汇大润发超市出口一层商铺
11396,北安,辛氏辣府重庆老火锅,75112403,35,北安市其他,重庆火锅,70,70,70,33,通北镇幸福金街31号
11397,承德,印象承德厨房,22227766,40,翠桥路,其他中餐,82,82,80,68,翠桥路农村信用社东
11399,承德,新乾隆酒楼,559109,45,新华路,家常菜,88,88,88,86,新华路帝景园大厦一楼底商
11402,承德,全家福北京菜,98071780,50,避暑山庄,京菜,90,90,90,64,小南门两宫门商业街9号
11404,承德,乔家满族八大碗,2451391,35,南营子大街,农家菜,72,72,72,94,流水沟太平桥1号
11406,承德,九田家果木烤肉,74589010,35,南营子大街,韩式烤肉,71,71,70,90,名都广场6层
11408,承德,老三羊汤,2305744,40,避暑山庄,快餐简餐,80,74,71,41,山庄路北兴隆街西8号商铺
11409,承德,苏尼特食府,23342381,45,丰宁中医院,其他中餐,87,87,87,55,兴丰路金穗家园底商
11410,承德,满汉全席,1893784,35,避暑山庄,创意菜,71,72,71,165,山庄路两宫门古建筑群4-5号
11411,承德,塞上泉冷水鱼生态餐厅,72334081,35,金龙购物广场,烤鱼,76,77,75,81,都统府大街金龙皇家广场B座5层
11412,承德,灰鲸法式铁板烧,69477627,35,外八庙,西餐,74,74,74,140,山庄东路万树园小区北行100米
11413,承德,呷哺呷哺,24614919,40,南营子大街,火锅,83,84,83,55,"马市街路南名都广场项目的一层104,二层206"
11414,承德,紫渝江南烤全鱼,66985670,45,金龙购物广场,烤鱼,85,86,85,73,金龙皇家购物广场B座6楼
11415,承德,圣比特南美自助健康烤肉,92513018,35,新华路,自助餐,70,70,70,60,新华路外贸综合楼4层
11416,承德,鼎牛时代烤肉,66440975,40,金龙购物广场,韩式烤肉,80,81,80,59,金龙购物广场B座六楼
11417,承德,乾隆饺子馆,4282860,40,南营子大街,快餐简餐,83,79,81,61,中兴路28号
11418,承德,又一春饭店,9898172,40,西大街,苏浙菜,81,80,80,53,西大街与革新路交汇处西100米
11419,承德,泰鑫诱惑泰国菜餐厅,95387754,35,金龙购物广场,东南亚菜,73,74,73,80,金龙购物广场B座6层
11421,承德,鹿港小镇,2604373,40,翠桥路,其他中餐,78,79,78,63,承德宾馆对面
11423,承德,大三和,5340167,45,南营子大街,火锅,85,82,84,86,中兴路钟鼓楼小区6号底商
11424,承德,彤德莱火锅,110425589,50,南营子大街,火锅,90,90,90,70,中兴路与流水沟路交汇
11427,承德,承门宴语海鲜火锅,65406650,35,翠桥路,海鲜火锅,75,75,75,53,河北省承德市双桥区翠桥路6号
11428,承德,港悦味道,92000880,35,金龙购物广场,粤菜,72,73,72,70,都统府大街金龙广场B座5层
11429,承德,新顺和康乾盛世,97068333,35,避暑山庄,家常菜,73,73,72,79,都统府大街金龙购物广场B座5楼
11430,承德,香和兴剪刀面,21057897,40,南营子大街,快餐简餐,85,85,85,20,流水沟路
11431,承德,嘉和国际饭店雅味厅日式料理,58591052,35,迎宾路,日本料理,76,77,76,190,迎宾路23号嘉和国际饭店2楼
11433,承德,清真·回香斋马家私房菜,96588741,35,金龙购物广场,其他中餐,75,74,74,42,武烈路金龙购物中心B座六楼麦颂旁
11434,承德,不打烊羊蝎子&烧烤,97977633,35,翠桥路,羊蝎子火锅,76,75,75,117,翠桥路汉庭酒店隔壁
11435,承德,青花小厨,3899827,35,南营子大街,川菜家常菜,74,74,74,60,中兴路2号
